neg,neu,pos,compound,sentiment
0,1,0,0,neutral
0,0.885,0.115,0.0772,positive
0,0.859,0.141,0.4215,positive
0,0.826,0.174,0.2732,positive
0,1,0,0,neutral
0.073,0.927,0,-0.128,negative
0,0.833,0.167,0.6124,positive
0,0.909,0.091,0.3818,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0.919,0.081,0.128,positive
0.084,0.916,0,-0.2732,negative
0.156,0.844,0,-0.34,negative
0.105,0.752,0.143,0.128,positive
0.144,0.684,0.173,0.204,positive
0,1,0,0,neutral
0.184,0.816,0,-0.5423,negative
0.089,0.911,0,-0.5423,negative
0,1,0,0,neutral
0.21,0.641,0.149,-0.2607,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,0.912,0.088,0.34,positive
0,1,0,0,neutral
0.223,0.777,0,-0.2235,negative
0,1,0,0,neutral
0.281,0.719,0,-0.5994,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.13,0.673,0.197,0.1045,positive
0.304,0.696,0,-0.5423,negative
0,1,0,0,neutral
0.383,0.617,0,-0.7351,negative
0,0.699,0.301,0.5106,positive
0,0.936,0.064,0.128,positive
0,1,0,0,neutral
0,0.92,0.08,0.4215,positive
0.176,0.824,0,-0.7269,negative
0,1,0,0,neutral
0,1,0,0,neutral
0.115,0.885,0,-0.5994,negative
0,1,0,0,neutral
0,0.871,0.129,0.2732,positive
0.231,0.769,0,-0.2732,negative
0.241,0.759,0,-0.6969,negative
0,1,0,0,neutral
0,0.873,0.127,0.4939,positive
0,1,0,0,neutral
0,1,0,0,neutral
0.134,0.866,0,-0.4767,negative
0,0.845,0.155,0.5106,positive
0.119,0.881,0,-0.2263,negative
0.32,0.68,0,-0.7943,negative
0,0.903,0.097,0.0762,positive
0.117,0.712,0.172,0.1779,positive
0.225,0.775,0,-0.4404,negative
0,1,0,0,neutral
0,0.876,0.124,0.4019,positive
0,1,0,0,neutral
0,1,0,0,neutral
0.238,0.614,0.148,-0.3612,negative
0.071,0.929,0,-0.296,negative
0,0.825,0.175,0.6166,positive
0.216,0.784,0,-0.296,negative
0.172,0.828,0,-0.6326,negative
0.143,0.733,0.123,0.1235,positive
0.104,0.803,0.092,-0.0772,negative
0.143,0.739,0.118,-0.128,negative
0.171,0.829,0,-0.4767,negative
0,0.849,0.151,0.6697,positive
0,0.862,0.138,0.5859,positive
0,1,0,0,neutral
0.1,0.9,0,-0.2732,negative
0.124,0.876,0,-0.34,negative
0.152,0.618,0.23,0.34,positive
0,0.674,0.326,0.7717,positive
0,0.767,0.233,0.7845,positive
0,0.818,0.182,0.6007,positive
0,0.871,0.129,0.4767,positive
0,1,0,0,neutral
0.182,0.625,0.193,0.34,positive
0.106,0.793,0.101,-0.3182,negative
0,1,0,0,neutral
0.101,0.696,0.203,0.3818,positive
0,0.866,0.134,0.1779,positive
0.385,0.615,0,-0.7845,negative
0.173,0.827,0,-0.3182,negative
0,0.763,0.237,0.5574,positive
0,0.898,0.102,0.3612,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,0.85,0.15,0.2933,positive
0,0.909,0.091,0.0772,positive
0.137,0.863,0,-0.2263,negative
0.163,0.724,0.114,-0.4404,negative
0.115,0.885,0,-0.296,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.088,0.8,0.112,0.1531,positive
0.195,0.805,0,-0.4404,negative
0,1,0,0,neutral
0,1,0,0,neutral
0.105,0.8,0.095,-0.0516,negative
0,1,0,0,neutral
0,1,0,0,neutral
0.285,0.715,0,-0.4926,negative
0,1,0,0,neutral
0.291,0.709,0,-0.6249,negative
0,1,0,0,neutral
0.34,0.598,0.063,-0.9141,negative
0,1,0,0,neutral
0.466,0.534,0,-0.7269,negative
0,1,0,0,neutral
0.147,0.765,0.088,-0.25,negative
0.269,0.731,0,-0.8834,negative
0.121,0.879,0,-0.296,negative
0.078,0.922,0,-0.296,negative
0,1,0,0,neutral
0.14,0.86,0,-0.4767,negative
0,0.796,0.204,0.3182,positive
0.094,0.906,0,-0.3612,negative
0.143,0.857,0,-0.128,negative
0,0.766,0.234,0.7003,positive
0,0.773,0.227,0.6669,positive
0,1,0,0,neutral
0.298,0.702,0,-0.8176,negative
0.123,0.877,0,-0.2732,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.224,0.776,0,-0.3818,negative
0,1,0,0,neutral
0,0.896,0.104,0.2732,positive
0,0.815,0.185,0.3612,positive
0.268,0.732,0,-0.7057,negative
0,1,0,0,neutral
0.14,0.86,0,-0.3818,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.112,0.888,0,-0.34,negative
0,1,0,0,neutral
0.108,0.789,0.103,-0.0516,negative
0,1,0,0,neutral
0.275,0.725,0,-0.6326,negative
0.149,0.676,0.175,0.2003,positive
0.273,0.727,0,-0.5423,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.081,0.841,0.078,-0.0263,neutral
0.142,0.751,0.107,-0.2263,negative
0.196,0.804,0,-0.5994,negative
0,1,0,0,neutral
0.224,0.68,0.095,-0.5859,negative
0,1,0,0,neutral
0,0.826,0.174,0.2732,positive
0,0.821,0.179,0.5719,positive
0,0.807,0.193,0.4767,positive
0.133,0.867,0,-0.3818,negative
0,0.887,0.113,0.3182,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,0.916,0.084,0.296,positive
0.247,0.753,0,-0.5574,negative
0,1,0,0,neutral
0,0.797,0.203,0.4215,positive
0,1,0,0,neutral
